path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type,raw_location,lat,lon,utc_metadata_creation_time
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_173221.mp4,20220311_173221.mp4,2024-12-13 12:19:18.314497232+00:00,2022-03-11 22:32:28+00:00,2024-12-14 08:59:55.003489494+00:00,53.524944,mp4,clip,+32.0796+034.7678/,32.0796,34.7678,2022-03-11 15:32:28+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_173333.mp4,20220311_173333.mp4,2024-12-13 12:19:18.882589102+00:00,2022-03-11 22:33:42+00:00,2024-12-14 08:59:54.562344790+00:00,84.044346,mp4,clip,+32.0794+034.7678/,32.0794,34.7678,2022-03-11 15:33:42+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_195916.mp4,20220311_195916.mp4,2024-12-13 12:19:19.353344202+00:00,2022-03-12 00:59:25+00:00,2024-12-14 08:59:54.114459038+00:00,69.771367,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 17:59:25+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_200214.mp4,20220311_200214.mp4,2024-12-13 12:19:19.628618479+00:00,2022-03-12 01:02:19+00:00,2024-12-14 08:59:53.927984953+00:00,39.541241,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 18:02:19+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_201139.mp4,20220311_201139.mp4,2024-12-13 12:19:20.409502745+00:00,2022-03-12 01:11:51+00:00,2024-12-14 08:59:53.362737179+00:00,115.524176,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 18:11:51+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_201214.mp4,20220311_201214.mp4,2024-12-13 12:19:21.059214592+00:00,2022-03-12 01:12:25+00:00,2024-12-14 08:59:52.859531879+00:00,97.011694,mp4,clip,+32.0794+034.7673/,32.0794,34.7673,2022-03-11 18:12:25+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_202350.mp4,20220311_202350.mp4,2024-12-13 12:19:21.540571213+00:00,2022-03-12 01:23:58+00:00,2024-12-14 08:59:52.465172529+00:00,68.510125,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 18:23:58+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_203221.mp4,20220311_203221.mp4,2024-12-13 12:19:21.818314552+00:00,2022-03-12 01:32:26+00:00,2024-12-14 08:59:52.012984514+00:00,41.815106,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 18:32:26+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_203952.mp4,20220311_203952.mp4,2024-12-13 12:19:22.220954895+00:00,2022-03-12 01:39:59+00:00,2024-12-14 08:59:52.196874619+00:00,62.522134,mp4,clip,+32.0794+034.7674/,32.0794,34.7674,2022-03-11 18:39:59+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_220841.mp4,20220311_220841.mp4,2024-12-13 12:19:22.577984333+00:00,2022-03-12 03:08:47+00:00,2024-12-14 08:59:51.256326437+00:00,55.709375,mp4,clip,+32.0794+034.7678/,32.0794,34.7678,2022-03-11 20:08:47+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220311_220854.mp4,20220311_220854.mp4,2024-12-13 12:19:23.088815451+00:00,2022-03-12 03:09:03+00:00,2024-12-14 08:59:51.506879568+00:00,78.691035,mp4,clip,+32.0794+034.7678/,32.0794,34.7678,2022-03-11 20:09:03+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_223743.jpg,20220311_223743.jpg,2024-12-13 02:07:05.569765091+00:00,2022-03-12 03:37:46+00:00,2024-12-14 08:59:50.845668316+00:00,25.171938,jpg,pic,0,32.079365799722225,34.76775409972222,2022-03-11 20:37:43+00:00
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_223749.jpg,20220311_223749.jpg,2024-12-13 02:07:05.580516815+00:00,2022-03-12 03:37:50+00:00,2024-12-14 08:59:50.828092813+00:00,1.909092,jpg,pic,0,32.079365799722225,34.76775409972222,2022-03-11 20:37:49+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_090951.mp4,20220312_090951.mp4,2024-12-13 12:19:23.484500408+00:00,2022-03-12 14:09:58+00:00,2024-12-14 08:59:50.169064522+00:00,60.248828,mp4,clip,+32.0796+034.7675/,32.0796,34.7675,2022-03-12 07:09:58+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_100058.mp4,20220312_100058.mp4,2024-12-13 12:19:24.779899836+00:00,2022-03-12 15:01:07+00:00,2024-12-14 08:59:49.087455273+00:00,78.096702,mp4,clip,+32.0553+034.7565/,32.0553,34.7565,2022-03-12 08:01:07+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101206.mp4,20220312_101206.mp4,2024-12-13 12:19:25.030102730+00:00,2022-03-12 15:12:10+00:00,2024-12-14 08:59:49.429217815+00:00,38.177113,mp4,clip,+32.0556+034.7552/,32.0556,34.7552,2022-03-12 08:12:10+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101329.mp4,20220312_101329.mp4,2024-12-13 12:19:25.451051474+00:00,2022-03-12 15:13:36+00:00,2024-12-14 08:59:46.628221750+00:00,65.148552,mp4,clip,+32.0556+034.7551/,32.0556,34.7551,2022-03-12 08:13:36+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101342.mp4,20220312_101342.mp4,2024-12-13 12:19:25.695047379+00:00,2022-03-12 15:13:47+00:00,2024-12-14 08:59:48.639136553+00:00,35.2508,mp4,clip,+32.0556+034.7551/,32.0556,34.7551,2022-03-12 08:13:47+00:00
