path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_111842.jpg,20220311_111842.jpg,2024-12-13 02:07:04.996206045+00:00,2022-03-11 17:18:43+00:00,2024-12-14 09:00:25.100737810+00:00,3.556796,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_111844.jpg,20220311_111844.jpg,2024-12-13 02:07:05.017471790+00:00,2022-03-11 17:18:45+00:00,2024-12-14 09:00:25.018418550+00:00,3.657528,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_111850.jpg,20220311_111850.jpg,2024-12-13 02:07:05.207998991+00:00,2022-03-11 17:18:54+00:00,2024-12-14 09:00:28.320000410+00:00,26.937528,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_111854.jpg,20220311_111854.jpg,2024-12-13 02:07:05.397697687+00:00,2022-03-11 17:18:59+00:00,2024-12-14 09:00:28.473046303+00:00,26.904573,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_223743.jpg,20220311_223743.jpg,2024-12-13 02:07:05.569765091+00:00,2022-03-12 03:37:46+00:00,2024-12-14 08:59:50.845668316+00:00,25.171938,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220311_223749.jpg,20220311_223749.jpg,2024-12-13 02:07:05.580516815+00:00,2022-03-12 03:37:50+00:00,2024-12-14 08:59:50.828092813+00:00,1.909092,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_102426.jpg,20220312_102426.jpg,2024-12-13 02:07:05.603197098+00:00,2022-03-12 15:24:26+00:00,2024-12-14 08:59:45.166802883+00:00,2.349057,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_102428.jpg,20220312_102428.jpg,2024-12-13 02:07:05.616958857+00:00,2022-03-12 15:24:29+00:00,2024-12-14 08:59:45.220951557+00:00,2.361671,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121137.jpg,20220312_121137.jpg,2024-12-13 02:07:05.630100250+00:00,2022-03-12 17:11:39+00:00,2024-12-14 08:59:31.363787174+00:00,2.406379,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121141.jpg,20220312_121141.jpg,2024-12-13 02:07:05.645480394+00:00,2022-03-12 17:11:42+00:00,2024-12-14 08:59:31.408839464+00:00,2.540034,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_121142.jpg,20220312_121142.jpg,2024-12-13 02:07:05.669697046+00:00,2022-03-12 17:11:44+00:00,2024-12-14 08:59:31.428375006+00:00,2.701998,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_140856.jpg,20220312_140856.jpg,2024-12-13 02:07:05.692129135+00:00,2022-03-12 19:08:57+00:00,2024-12-14 08:59:26.716373920+00:00,3.839823,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_144404.jpg,20220312_144404.jpg,2024-12-13 02:07:05.720546007+00:00,2022-03-12 19:44:05+00:00,2024-12-14 08:59:25.479580402+00:00,3.483866,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_144405.jpg,20220312_144405.jpg,2024-12-13 02:07:05.740193605+00:00,2022-03-12 19:44:06+00:00,2024-12-14 08:59:25.450337887+00:00,3.378815,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_152946.jpg,20220312_152946.jpg,2024-12-13 02:07:05.760019064+00:00,2022-03-12 20:29:47+00:00,2024-12-14 08:59:25.385508299+00:00,1.999124,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_183727.jpg,20220312_183727.jpg,2024-12-13 02:07:05.788086653+00:00,2022-03-12 23:37:29+00:00,2024-12-14 08:59:22.488791466+00:00,2.412105,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232116.jpg,20220312_232116.jpg,2024-12-13 02:07:05.797803402+00:00,2022-03-13 04:21:17+00:00,2024-12-14 08:59:20.250495672+00:00,1.656544,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232122.jpg,20220312_232122.jpg,2024-12-13 02:07:05.820550442+00:00,2022-03-13 04:21:22+00:00,2024-12-14 08:59:20.409829378+00:00,2.456924,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232125.jpg,20220312_232125.jpg,2024-12-13 02:07:05.835647821+00:00,2022-03-13 04:21:25+00:00,2024-12-14 08:59:20.485767365+00:00,2.593942,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232145.jpg,20220312_232145.jpg,2024-12-13 02:07:05.851211071+00:00,2022-03-13 04:21:45+00:00,2024-12-14 08:59:20.580869675+00:00,2.682941,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232147.jpg,20220312_232147.jpg,2024-12-13 02:07:05.875245094+00:00,2022-03-13 04:21:47+00:00,2024-12-14 08:59:20.560452938+00:00,2.704198,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232154.jpg,20220312_232154.jpg,2024-12-13 02:07:05.889329910+00:00,2022-03-13 04:21:55+00:00,2024-12-14 08:59:20.389586210+00:00,2.355656,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232155.jpg,20220312_232155.jpg,2024-12-13 02:07:05.902604818+00:00,2022-03-13 04:21:57+00:00,2024-12-14 08:59:20.369864464+00:00,2.292244,jpg,pic
