path,name,ctime,modified_time,accessed_time,megabytes,extension,type,raw_location,lat,lon,alt_capture_time
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_114902.mp4,20220303_114902.mp4,2022-06-09 15:54:32,2022-03-03 11:49:07,2022-06-09 17:01:09,38.724083,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_114909.mp4,20220303_114909.mp4,2022-06-09 15:54:32,2022-03-03 11:49:14,2022-06-09 17:04:48,42.023359,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_114916.mp4,20220303_114916.mp4,2022-06-09 15:54:32,2022-03-03 11:49:20,2022-06-09 17:04:50,36.81749,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_115000.mp4,20220303_115000.mp4,2022-06-09 15:54:32,2022-03-03 11:50:05,2022-06-09 17:04:52,45.788553,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_115119.mp4,20220303_115119.mp4,2022-06-09 15:54:32,2022-03-03 11:51:28,2022-06-09 17:04:55,80.618266,mp4,clip,+39.1512-106.8197/,39.1512,-106.8197,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_115137.mp4,20220303_115137.mp4,2022-06-09 15:54:32,2022-03-03 11:51:43,2022-06-09 17:04:57,44.085871,mp4,clip,+39.1513-106.8197/,39.1513,-106.8197,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_122608.mp4,20220303_122608.mp4,2022-06-09 15:54:32,2022-03-03 12:26:15,2022-06-09 17:04:59,57.332414,mp4,clip,+39.1824-106.8194/,39.1824,-106.8194,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_122722.mp4,20220303_122722.mp4,2022-06-09 15:54:32,2022-03-03 12:27:27,2022-06-09 17:05:01,42.160065,mp4,clip,+39.1856-106.8180/,39.1856,-106.818,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_130824.mp4,20220303_130824.mp4,2022-06-09 15:54:32,2022-03-03 13:08:30,2022-06-09 17:05:03,54.355803,mp4,clip,+39.1537-106.8213/,39.1537,-106.8213,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_130952.mp4,20220303_130952.mp4,2022-06-09 15:54:32,2022-03-03 13:09:59,2022-06-09 17:05:05,65.166745,mp4,clip,+39.1553-106.8240/,39.1553,-106.824,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_134820.mp4,20220303_134820.mp4,2022-06-09 15:54:56,2022-03-03 13:48:26,2022-06-09 17:05:07,56.468391,mp4,clip,+39.1634-106.8270/,39.1634,-106.827,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_141941.mp4,20220303_141941.mp4,2022-06-09 15:54:56,2022-03-03 14:19:52,2022-06-09 17:05:09,96.62642,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_145316.mp4,20220303_145316.mp4,2022-06-09 15:54:56,2022-03-03 14:53:24,2022-06-09 17:05:12,75.223203,mp4,clip,+39.1627-106.8271/,39.1627,-106.8271,x
D:\Temp storage\Temp videos for projects\2022-03 Outdoor Aspen Snowmass views\20220303_145545.mp4,20220303_145545.mp4,2022-06-09 15:54:57,2022-03-03 14:55:53,2022-06-09 17:05:14,66.32505,mp4,clip,+39.1771-106.8260/,39.1771,-106.826,x
