path,name,ctime,modified_time,accessed_time,megabytes,extension,type,raw_location,lat,lon,alt_capture_time
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_092610.mp4,20220318_092610.mp4,2022-03-18 17:19:57,2022-03-18 04:26:16,2022-05-28 09:53:14,47.836516,mp4,clip,+50.0498+008.5759/,50.0498,8.5759,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_093012.mp4,20220318_093012.mp4,2022-03-18 17:19:58,2022-03-18 04:30:17,2022-05-28 09:53:14,42.645061,mp4,clip,+50.0502+008.5733/,50.0502,8.5733,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_093113.mp4,20220318_093113.mp4,2022-03-18 17:19:58,2022-03-18 04:31:18,2022-05-28 09:53:14,46.818444,mp4,clip,+50.0500+008.5733/,50.05,8.5733,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_095927.mp4,20220318_095927.mp4,2022-03-18 17:20:02,2022-03-18 04:59:33,2022-05-28 09:53:14,45.615646,mp4,clip,+50.0492+008.5742/,50.0492,8.5742,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100318.mp4,20220318_100318.mp4,2022-03-18 17:20:05,2022-03-18 05:03:22,2022-05-28 09:53:14,33.597754,mp4,clip,+50.0492+008.5715/,50.0492,8.5715,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100439.mp4,20220318_100439.mp4,2022-03-18 17:20:09,2022-03-18 05:04:42,2022-05-28 09:53:14,22.869563,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100448.mp4,20220318_100448.mp4,2022-03-18 17:20:10,2022-03-18 05:04:51,2022-05-28 09:53:14,19.613818,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100457.mp4,20220318_100457.mp4,2022-03-18 17:20:10,2022-03-18 05:05:00,2022-05-28 09:53:14,20.977937,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100523.mp4,20220318_100523.mp4,2022-03-18 17:20:10,2022-03-18 05:05:40,2022-05-28 09:53:14,158.943769,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100548.mp4,20220318_100548.mp4,2022-03-18 17:20:13,2022-03-18 05:05:56,2022-05-28 09:53:14,71.346049,mp4,clip,+50.0459+008.5653/,50.0459,8.5653,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100604.mp4,20220318_100604.mp4,2022-03-18 17:20:13,2022-03-18 05:06:11,2022-05-28 09:53:14,60.03147,mp4,clip,+50.0459+008.5653/,50.0459,8.5653,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100622.mp4,20220318_100622.mp4,2022-03-18 17:20:14,2022-03-18 05:06:30,2022-05-28 09:53:14,69.744164,mp4,clip,+50.0459+008.5653/,50.0459,8.5653,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_100638.mp4,20220318_100638.mp4,2022-03-18 17:20:16,2022-03-18 05:06:44,2022-05-28 09:53:14,59.200988,mp4,clip,+50.0459+008.5653/,50.0459,8.5653,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_101719.mp4,20220318_101719.mp4,2022-03-18 17:20:30,2022-03-18 05:17:23,2022-05-28 09:53:14,35.68008,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
D:\Temp storage\Temp videos for projects\2022-03-18 FRA JFK 747-400\time_zone_1\20220318_101725.mp4,20220318_101725.mp4,2022-03-18 17:20:30,2022-03-18 05:17:29,2022-05-28 09:53:14,36.198174,mp4,clip,+00.0000+000.0000/,0.0,0.0,x
